dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
L23,expb_pow,a,440,440,,3304,0.0411,0.0411,0.0987,0.0664,1.0232,0.4551,0.9303,3186,,,,over-confident,over-confident,0.5754,indistinguishable
L23,giop,a,440,440,,3271,0.0901,0.0901,0.0958,0.0519,1.0783,0.2149,0.4409,3266,,,,over-confident,over-confident,0.4246,indistinguishable
L23,expb_pow,a,443,445,,3304,0.0401,0.0401,0.0949,0.0638,1.0231,0.4416,0.9291,3186,,,,over-confident,over-confident,0.5851,indistinguishable
L23,giop,a,443,445,,3271,0.0871,0.0871,0.0927,0.0498,1.0774,0.214,0.4424,3266,,,,over-confident,over-confident,0.4149,indistinguishable
L23,expb_pow,a_dg,440,440,,3304,0.052,0.052,0.3199,0.1545,1.0316,0.9361,0.9912,3304,2,2,2,conservative,conservative,0.306,ranked
L23,giop,a_dg,440,440,,3271,-0.0282,0.0282,0.1899,0.1052,0.9786,0.3611,0.6457,3271,1,1,1,over-confident,over-confident,0.694,ranked
L23,expb_pow,a_dg,443,445,,3304,0.0397,0.0397,0.3379,0.1601,1.0193,0.9352,0.9915,3304,2,1,2,conservative,conservative,0.3017,ranked
L23,giop,a_dg,443,445,,3271,-0.0507,0.0507,0.2004,0.1093,0.9562,0.3369,0.6065,3271,1,2,1,over-confident,over-confident,0.6983,ranked
L23,expb_pow,a_ph,440,440,,3304,-0.3451,0.3451,1.0736,0.7958,1.02,0.9683,0.9947,3186,2,2,2,conservative,conservative,0.4546,ranked
L23,giop,a_ph,440,440,,3271,0.2637,0.2637,0.3693,0.2522,1.2911,0.2829,0.5129,3266,1,1,1,over-confident,over-confident,0.5454,ranked
L23,expb_pow,a_ph,443,445,,3304,-0.3288,0.3288,1.0377,0.7772,1.0366,0.9686,0.9947,3186,2,2,2,conservative,conservative,0.4843,ranked
L23,giop,a_ph,443,445,,3271,0.2899,0.2899,0.3864,0.2558,1.3182,0.2704,0.4835,3266,1,1,1,over-confident,over-confident,0.5157,ranked
L23,expb_pow,bb,555,555,,3304,0.008,0.008,0.0551,0.0341,1.0012,0.813,0.9634,3304,,,,conservative,conservative,0.4965,indistinguishable
L23,giop,bb,555,555,,3271,-0.0223,0.0223,0.0521,0.0292,0.9752,0.4329,0.7288,3271,,,,over-confident,over-confident,0.5035,indistinguishable
L23,expb_pow,bb,670,670,,3304,0.0256,0.0256,0.0861,0.0455,1.0179,0.7772,0.96,3304,,,,conservative,conservative,0.7282,indistinguishable
L23,giop,bb,670,670,,3271,-0.0958,0.0958,0.1275,0.0601,0.895,0.1507,0.3152,3271,,,,over-confident,over-confident,0.2718,indistinguishable
L23,expb_pow,bb_p,555,555,,3304,0.0184,0.0184,0.109,0.0616,1.0022,0.813,0.9634,3304,,,,conservative,conservative,0.498,indistinguishable
L23,giop,bb_p,555,555,,3271,-0.0388,0.0388,0.1054,0.0572,0.953,0.4329,0.7288,3271,,,,over-confident,over-confident,0.502,indistinguishable
L23,expb_pow,bb_p,670,670,,3304,0.0477,0.0477,0.1452,0.079,1.0262,0.7772,0.96,3304,,,,conservative,conservative,0.7362,indistinguishable
L23,giop,bb_p,670,670,,3271,-0.1471,0.1471,0.2098,0.0944,0.8383,0.1507,0.3152,3271,,,,over-confident,over-confident,0.2638,indistinguishable
