dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
L23,expb_pow,a,440,440,,161,0.5348,0.5348,0.5411,0.2244,1.5329,0.1384,0.4654,159,2,2,2,over-confident,over-confident,0.2795,ranked
L23,giop,a,440,440,,161,0.3353,0.3353,0.3376,0.1417,1.3387,0.0318,0.1401,157,1,1,1,over-confident,over-confident,0.7205,ranked
L23,expb_pow,a,443,445,,161,0.4975,0.4975,0.5051,0.2136,1.492,0.1447,0.4843,159,2,2,2,over-confident,over-confident,0.2795,ranked
L23,giop,a,443,445,,161,0.3068,0.3068,0.3102,0.1325,1.3118,0.051,0.1656,157,1,1,1,over-confident,over-confident,0.7205,ranked
L23,expb_pow,a_dg,440,440,,161,0.4146,0.4146,0.8257,0.3231,1.484,0.7453,0.8571,161,2,2,2,consistent,over-confident,0.354,ranked
L23,giop,a_dg,440,440,,161,-0.0329,0.0329,0.5556,0.2602,0.987,0.5652,0.8261,161,1,1,1,over-confident,over-confident,0.646,ranked
L23,expb_pow,a_dg,443,445,,161,0.3845,0.3845,0.8173,0.3198,1.4601,0.7453,0.8634,161,2,2,2,consistent,over-confident,0.3727,ranked
L23,giop,a_dg,443,445,,161,-0.0576,0.0576,0.5644,0.2625,0.9594,0.5217,0.8323,161,1,1,1,over-confident,over-confident,0.6273,ranked
L23,expb_pow,a_ph,440,440,,161,0.3376,0.3376,0.8782,0.4132,1.6124,0.6855,0.9308,159,,,,consistent,consistent,0.4845,indistinguishable
L23,giop,a_ph,440,440,,161,0.1421,0.1421,1.2914,0.8568,1.6289,0.2166,0.3694,157,,,,over-confident,over-confident,0.5155,indistinguishable
L23,expb_pow,a_ph,443,445,,161,0.3088,0.3088,0.8371,0.4042,1.5688,0.6981,0.9308,159,,,,consistent,consistent,0.4969,indistinguishable
L23,giop,a_ph,443,445,,161,0.1155,0.1155,1.2627,0.86,1.6249,0.2484,0.3694,157,,,,over-confident,over-confident,0.5031,indistinguishable
L23,expb_pow,bb,555,555,,161,0.176,0.176,0.2118,0.1024,1.1661,0.4534,0.7578,161,,,,over-confident,over-confident,0.2795,indistinguishable
L23,giop,bb,555,555,,161,0.0816,0.0816,0.1266,0.0639,1.0767,0.2174,0.441,161,,,,over-confident,over-confident,0.7205,indistinguishable
L23,expb_pow,bb,670,670,,161,0.1251,0.1251,0.135,0.0672,1.1212,0.3354,0.559,161,,,,over-confident,over-confident,0.6087,indistinguishable
L23,giop,bb,670,670,,161,0.1145,0.1145,0.1433,0.0729,1.1125,0.2298,0.4534,161,,,,over-confident,over-confident,0.3913,indistinguishable
L23,expb_pow,bb_p,555,555,,161,0.2019,0.2019,0.2527,0.1173,1.2224,0.4534,0.7578,161,,,,over-confident,over-confident,0.2795,indistinguishable
L23,giop,bb_p,555,555,,161,0.0906,0.0906,0.1527,0.0748,1.1021,0.2174,0.441,161,,,,over-confident,over-confident,0.7205,indistinguishable
L23,expb_pow,bb_p,670,670,,161,0.1388,0.1388,0.1507,0.0741,1.137,0.3354,0.559,161,,,,over-confident,over-confident,0.6087,indistinguishable
L23,giop,bb_p,670,670,,161,0.1247,0.1247,0.1593,0.0797,1.1247,0.2298,0.4534,161,,,,over-confident,over-confident,0.3913,indistinguishable
