dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
L23,expb_pow,a,440,440,,2495,0.0191,0.0191,0.0865,0.0489,1.0101,0.5104,0.9561,2394,,,,over-confident,consistent,0.5545,indistinguishable
L23,giop,a,440,440,,2494,0.0824,0.0824,0.0886,0.0444,1.0789,0.2274,0.4517,2493,,,,over-confident,over-confident,0.4455,indistinguishable
L23,expb_pow,a,443,445,,2495,0.0192,0.0192,0.0837,0.0476,1.01,0.4983,0.9566,2394,,,,over-confident,consistent,0.5589,indistinguishable
L23,giop,a,443,445,,2494,0.0798,0.0798,0.086,0.0431,1.0776,0.227,0.4565,2493,,,,over-confident,over-confident,0.4411,indistinguishable
L23,expb_pow,a_dg,440,440,,2495,0.045,0.045,0.3097,0.1452,1.0324,0.9379,0.9976,2495,2,2,2,conservative,conservative,0.3059,ranked
L23,giop,a_dg,440,440,,2494,-0.0294,0.0294,0.1805,0.0941,0.9796,0.3669,0.6596,2494,1,1,1,over-confident,over-confident,0.6941,ranked
L23,expb_pow,a_dg,443,445,,2495,0.0341,0.0341,0.3281,0.1519,1.0217,0.9367,0.9976,2495,2,1,2,conservative,conservative,0.3019,ranked
L23,giop,a_dg,443,445,,2494,-0.0518,0.0518,0.1908,0.0988,0.9568,0.3456,0.6223,2494,1,2,1,over-confident,over-confident,0.6981,ranked
L23,expb_pow,a_ph,440,440,,2495,-0.4077,0.4077,1.1555,0.8532,0.9709,0.9808,0.9975,2394,2,2,2,conservative,conservative,0.4531,ranked
L23,giop,a_ph,440,440,,2494,0.262,0.262,0.3261,0.1728,1.2671,0.292,0.5291,2493,1,1,1,over-confident,over-confident,0.5469,ranked
L23,expb_pow,a_ph,443,445,,2495,-0.3926,0.3926,1.1133,0.8334,0.9889,0.9812,0.9975,2394,2,2,2,conservative,conservative,0.4808,ranked
L23,giop,a_ph,443,445,,2494,0.2866,0.2866,0.3403,0.1762,1.2921,0.284,0.5042,2493,1,1,1,over-confident,over-confident,0.5192,ranked
L23,expb_pow,bb,555,555,,2495,-0.0071,0.0071,0.0483,0.0267,0.9916,0.8737,0.9888,2495,,,,conservative,conservative,0.5341,indistinguishable
L23,giop,bb,555,555,,2494,-0.0361,0.0361,0.0507,0.0273,0.9665,0.4294,0.7269,2494,,,,over-confident,over-confident,0.4659,indistinguishable
L23,expb_pow,bb,670,670,,2495,0.0143,0.0143,0.0817,0.0429,1.0066,0.7964,0.982,2495,,,,conservative,conservative,0.7847,indistinguishable
L23,giop,bb,670,670,,2494,-0.1184,0.1184,0.1385,0.0632,0.8798,0.1111,0.249,2494,,,,over-confident,over-confident,0.2153,indistinguishable
L23,expb_pow,bb_p,555,555,,2495,-0.0109,0.0109,0.0934,0.0509,0.9849,0.8737,0.9888,2495,,,,conservative,conservative,0.5361,indistinguishable
L23,giop,bb_p,555,555,,2494,-0.0651,0.0651,0.1001,0.0536,0.9386,0.4294,0.7269,2494,,,,over-confident,over-confident,0.4639,indistinguishable
L23,expb_pow,bb_p,670,670,,2495,0.027,0.027,0.1321,0.0713,1.0102,0.7964,0.982,2495,,,,conservative,conservative,0.7919,indistinguishable
L23,giop,bb_p,670,670,,2494,-0.1772,0.1772,0.2244,0.0985,0.8197,0.1111,0.249,2494,,,,over-confident,over-confident,0.2081,indistinguishable
