dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
L23,expb_pow,a,440,440,,648,0.0264,0.0264,0.0547,0.0277,1.0351,0.3254,0.9494,633,,,,over-confident,consistent,0.737,indistinguishable
L23,giop,a,440,440,,616,0.0641,0.0641,0.068,0.0327,1.0652,0.211,0.474,616,,,,over-confident,over-confident,0.263,indistinguishable
L23,expb_pow,a,443,445,,648,0.0271,0.0271,0.0527,0.0267,1.0349,0.3017,0.9368,633,,,,over-confident,consistent,0.7711,indistinguishable
L23,giop,a,443,445,,616,0.0648,0.0648,0.0682,0.0326,1.066,0.2029,0.4562,616,,,,over-confident,over-confident,0.2289,indistinguishable
L23,expb_pow,a_dg,440,440,,648,0.0026,0.0026,0.255,0.1204,0.9866,0.9769,1.0,648,2,1,2,conservative,conservative,0.2938,ranked
L23,giop,a_dg,440,440,,616,-0.0222,0.0222,0.1455,0.0724,0.9711,0.2841,0.5422,616,1,2,1,over-confident,over-confident,0.7062,ranked
L23,expb_pow,a_dg,443,445,,648,-0.0112,0.0112,0.2755,0.1284,0.97,0.9769,1.0,648,2,1,2,conservative,conservative,0.2825,ranked
L23,giop,a_dg,443,445,,616,-0.044,0.044,0.1568,0.0773,0.9536,0.2532,0.4838,616,1,2,1,over-confident,over-confident,0.7175,ranked
L23,expb_pow,a_ph,440,440,,648,-0.1923,0.1923,0.8309,0.6198,1.1277,0.9921,1.0,633,2,1,2,conservative,conservative,0.4529,ranked
L23,giop,a_ph,440,440,,616,0.3046,0.3046,0.3629,0.1582,1.3296,0.263,0.4838,616,1,2,1,over-confident,over-confident,0.5471,ranked
L23,expb_pow,a_ph,443,445,,648,-0.1649,0.1649,0.8175,0.6044,1.1517,0.9889,1.0,633,2,1,2,conservative,conservative,0.4951,ranked
L23,giop,a_ph,443,445,,616,0.3538,0.3538,0.3988,0.1688,1.3786,0.2208,0.4286,616,1,2,1,over-confident,over-confident,0.5049,ranked
L23,expb_pow,bb,555,555,,648,0.0283,0.0283,0.0452,0.0242,1.0255,0.6682,0.9167,648,,,,consistent,over-confident,0.401,indistinguishable
L23,giop,bb,555,555,,616,0.0087,0.0087,0.0392,0.0208,1.008,0.5032,0.8117,616,,,,over-confident,over-confident,0.599,indistinguishable
L23,expb_pow,bb,670,670,,648,0.046,0.046,0.0912,0.0484,1.0404,0.8133,0.9753,648,,,,conservative,conservative,0.5308,indistinguishable
L23,giop,bb,670,670,,616,-0.0513,0.0513,0.0799,0.0402,0.9436,0.2906,0.5471,616,,,,over-confident,over-confident,0.4692,indistinguishable
L23,expb_pow,bb_p,555,555,,648,0.0935,0.0935,0.1361,0.0771,1.062,0.6682,0.9167,648,,,,consistent,over-confident,0.401,indistinguishable
L23,giop,bb_p,555,555,,616,0.0402,0.0402,0.1151,0.0652,1.0184,0.5032,0.8117,616,,,,over-confident,over-confident,0.599,indistinguishable
L23,expb_pow,bb_p,670,670,,648,0.1084,0.1084,0.196,0.1043,1.085,0.8133,0.9753,648,,,,conservative,conservative,0.5438,indistinguishable
L23,giop,bb_p,670,670,,616,-0.0825,0.0825,0.1653,0.08,0.8914,0.2906,0.5471,616,,,,over-confident,over-confident,0.4562,indistinguishable
