dataset,algorithm,component,ref_wave,n_pairs_chisq,mae_chisq,bias_chisq,median_ratio_chisq,coverage68_chisq,coverage95_chisq,coverage_n_chisq,chi2_nu_median_chisq,rel_misfit_median_chisq,frac_ok_chisq,n_attempted_chisq,n_pairs_mcmc,mae_mcmc,bias_mcmc,median_ratio_mcmc,coverage68_mcmc,coverage95_mcmc,coverage_n_mcmc,chi2_nu_median_mcmc,rel_misfit_median_mcmc,frac_ok_mcmc,n_attempted_mcmc,d_mae
L23,expb_pow,a,440,3304,0.0987,0.0411,1.0232,0.4551,0.9303,3186.0,1.0235,0.1069,0.9952,3320.0,3304,0.0681,0.0178,0.9971,0.6913,0.9274,3304.0,1.0455,0.109,0.9952,3320.0,-0.0306
L23,expb_pow,a,443,3304,0.0949,0.0401,1.0231,0.4416,0.9291,3186.0,1.0235,0.1069,0.9952,3320.0,3304,0.0655,0.0175,0.9988,0.6916,0.9268,3304.0,1.0455,0.109,0.9952,3320.0,-0.0294
L23,expb_pow,a_dg,440,3304,0.3199,0.052,1.0316,0.9361,0.9912,3304.0,1.0235,0.1069,0.9952,3320.0,3304,0.2741,0.1294,1.1426,0.6283,0.9086,3304.0,1.0455,0.109,0.9952,3320.0,-0.0458
L23,expb_pow,a_dg,443,3304,0.3379,0.0397,1.0193,0.9352,0.9915,3304.0,1.0235,0.1069,0.9952,3320.0,3304,0.2804,0.1255,1.1397,0.6419,0.9186,3304.0,1.0455,0.109,0.9952,3320.0,-0.0575
L23,expb_pow,a_ph,440,3304,1.0736,-0.3451,1.02,0.9683,0.9947,3186.0,1.0235,0.1069,0.9952,3320.0,3304,1.2515,-0.4807,0.8489,0.5778,0.8808,3304.0,1.0455,0.109,0.9952,3320.0,0.1779
L23,expb_pow,a_ph,443,3304,1.0377,-0.3288,1.0366,0.9686,0.9947,3186.0,1.0235,0.1069,0.9952,3320.0,3304,1.1943,-0.4654,0.8659,0.5899,0.8926,3304.0,1.0455,0.109,0.9952,3320.0,0.1565
L23,expb_pow,bb,555,3304,0.0551,0.008,1.0012,0.813,0.9634,3304.0,1.0235,0.1069,0.9952,3320.0,3304,0.0468,0.0074,1.0017,0.595,0.8798,3304.0,1.0455,0.109,0.9952,3320.0,-0.0083
L23,expb_pow,bb,670,3304,0.0861,0.0256,1.0179,0.7772,0.96,3304.0,1.0235,0.1069,0.9952,3320.0,3304,0.0684,0.0375,1.0334,0.6559,0.9013,3304.0,1.0455,0.109,0.9952,3320.0,-0.0177
L23,expb_pow,bb_p,555,3304,0.109,0.0184,1.0022,0.813,0.9634,3304.0,1.0235,0.1069,0.9952,3320.0,3304,0.0947,0.0189,1.0035,0.595,0.8798,3304.0,1.0455,0.109,0.9952,3320.0,-0.0143
L23,expb_pow,bb_p,670,3304,0.1452,0.0477,1.0262,0.7772,0.96,3304.0,1.0235,0.1069,0.9952,3320.0,3304,0.1178,0.0706,1.0498,0.6559,0.9013,3304.0,1.0455,0.109,0.9952,3320.0,-0.0275
