algorithm,component,ref_wave,ref_match,caveat,n,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,mae_rank,abs_bias_rank,rms_log_rank,win_frac
expb_pow,a,440.0,440.0,,0,,,,,,,,,,,
expb_pow2,a,440.0,440.0,,0,,,,,,,,,,,
expb_pow2flat,a,440.0,440.0,,0,,,,,,,,,,,
expb_powflex,a,440.0,440.0,,0,,,,,,,,,,,
expb_pow,a,443.0,443.0,,0,,,,,,,,,,,
expb_pow2,a,443.0,443.0,,0,,,,,,,,,,,
expb_pow2flat,a,443.0,443.0,,0,,,,,,,,,,,
expb_powflex,a,443.0,443.0,,0,,,,,,,,,,,
expb_pow,a_dg,440.0,440.0,CDOM_vs_adg,6,0.13587760474920807,0.13587760474920807,1.8619952863130345,0.5842320897855734,1.863987690325387,0.5,0.6666666666666666,3.0,1.0,3.0,0.5
expb_pow2,a_dg,440.0,440.0,CDOM_vs_adg,6,0.3019518369206524,0.3019518369206524,1.3608274672610712,0.42600993402431814,1.775097474727131,0.8333333333333334,0.8333333333333334,2.0,2.0,2.0,0.3888888888888889
expb_pow2flat,a_dg,440.0,440.0,CDOM_vs_adg,6,0.44150183367654683,0.44150183367654683,1.3052843415903252,0.40570215993777226,1.8777298406136718,0.5,0.8333333333333334,1.0,3.0,1.0,0.6111111111111112
expb_powflex,a_dg,440.0,440.0,CDOM_vs_adg,6,-0.6266257049020543,0.6266257049020543,6.494760705787668,1.5561822832558547,1.6112965240308914,0.3333333333333333,0.6666666666666666,4.0,4.0,4.0,0.5
expb_pow,a_dg,443.0,443.0,CDOM_vs_adg,0,,,,,,,,,,,
expb_pow2,a_dg,443.0,443.0,CDOM_vs_adg,0,,,,,,,,,,,
expb_pow2flat,a_dg,443.0,443.0,CDOM_vs_adg,0,,,,,,,,,,,
expb_powflex,a_dg,443.0,443.0,CDOM_vs_adg,0,,,,,,,,,,,
expb_pow,a_ph,440.0,440.0,,0,,,,,,,,,,,
expb_pow2,a_ph,440.0,440.0,,0,,,,,,,,,,,
expb_pow2flat,a_ph,440.0,440.0,,0,,,,,,,,,,,
expb_powflex,a_ph,440.0,440.0,,0,,,,,,,,,,,
expb_pow,a_ph,443.0,443.0,,0,,,,,,,,,,,
expb_pow2,a_ph,443.0,443.0,,0,,,,,,,,,,,
expb_pow2flat,a_ph,443.0,443.0,,0,,,,,,,,,,,
expb_powflex,a_ph,443.0,443.0,,0,,,,,,,,,,,
expb_pow,bb,555.0,555.0,,0,,,,,,,,,,,
expb_pow2,bb,555.0,555.0,,0,,,,,,,,,,,
expb_pow2flat,bb,555.0,555.0,,0,,,,,,,,,,,
expb_powflex,bb,555.0,555.0,,0,,,,,,,,,,,
expb_pow,bb,670.0,670.0,,0,,,,,,,,,,,
expb_pow2,bb,670.0,670.0,,0,,,,,,,,,,,
expb_pow2flat,bb,670.0,670.0,,0,,,,,,,,,,,
expb_powflex,bb,670.0,670.0,,0,,,,,,,,,,,
expb_pow,bb_p,555.0,555.0,,0,,,,,,,,,,,
expb_pow2,bb_p,555.0,555.0,,0,,,,,,,,,,,
expb_pow2flat,bb_p,555.0,555.0,,0,,,,,,,,,,,
expb_powflex,bb_p,555.0,555.0,,0,,,,,,,,,,,
expb_pow,bb_p,670.0,670.0,,0,,,,,,,,,,,
expb_pow2,bb_p,670.0,670.0,,0,,,,,,,,,,,
expb_pow2flat,bb_p,670.0,670.0,,0,,,,,,,,,,,
expb_powflex,bb_p,670.0,670.0,,0,,,,,,,,,,,
