dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
L23,expb_pow,a,440,440,,3315,0.0227,0.0227,0.0548,0.0504,0.9978,0.5574,0.807,3301,1,1,1,over-confident,over-confident,0.8464,ranked
L23,giop,a,440,440,,3285,0.1832,0.1832,0.1832,0.0776,1.177,0.0006,0.0024,3285,3,3,3,over-confident,over-confident,0.0744,ranked
L23,gsm,a,440,440,,3286,0.0913,0.0913,0.0958,0.0593,1.0606,0.1665,0.3174,3286,2,2,2,over-confident,over-confident,0.5778,ranked
L23,expb_pow,a,443,445,,3315,0.0229,0.0229,0.0528,0.0484,0.9992,0.5383,0.8007,3301,1,1,1,over-confident,over-confident,0.8735,ranked
L23,giop,a,443,445,,3285,0.1789,0.1789,0.179,0.0758,1.1733,0.0006,0.0027,3285,3,3,3,over-confident,over-confident,0.0905,ranked
L23,gsm,a,443,445,,3286,0.107,0.107,0.11,0.0656,1.0721,0.1372,0.2681,3286,2,2,2,over-confident,over-confident,0.5345,ranked
L23,expb_pow,a_dg,440,440,,3315,0.0296,0.0296,0.2224,0.1147,1.0263,0.7578,0.9092,3315,,,,conservative,over-confident,0.3907,indistinguishable
L23,giop,a_dg,440,440,,3285,-0.023,0.023,0.166,0.0854,0.9818,0.3556,0.635,3285,,,,over-confident,over-confident,0.5242,indistinguishable
L23,gsm,a_dg,440,440,,3286,0.0759,0.0759,0.1556,0.0863,1.0462,0.1939,0.3597,3286,,,,over-confident,over-confident,0.5855,indistinguishable
L23,expb_pow,a_dg,443,445,,3315,0.018,0.018,0.2352,0.1194,1.0173,0.7656,0.9131,3315,,,,conservative,over-confident,0.3788,indistinguishable
L23,giop,a_dg,443,445,,3285,-0.0454,0.0454,0.1768,0.0904,0.96,0.3373,0.611,3285,,,,over-confident,over-confident,0.5073,indistinguishable
L23,gsm,a_dg,443,445,,3286,0.0376,0.0376,0.1532,0.0832,1.0106,0.1823,0.3582,3286,,,,over-confident,over-confident,0.6144,indistinguishable
L23,expb_pow,a_ph,440,440,,3315,-0.1213,0.1213,0.4195,0.3256,0.997,0.7752,0.9537,3301,2,1,3,conservative,consistent,0.6166,ranked
L23,giop,a_ph,440,440,,3285,0.5935,0.5935,0.5991,0.2227,1.5848,0.0341,0.1065,3285,3,3,2,over-confident,over-confident,0.1574,ranked
L23,gsm,a_ph,440,440,,3286,0.1946,0.1946,0.2782,0.1365,1.1763,0.2228,0.4051,3286,1,2,1,over-confident,over-confident,0.7255,ranked
L23,expb_pow,a_ph,443,445,,3315,-0.1047,0.1047,0.4018,0.3158,1.0107,0.7873,0.9555,3301,2,1,3,conservative,consistent,0.6752,ranked
L23,giop,a_ph,443,445,,3285,0.6255,0.6255,0.6303,0.2298,1.6158,0.0244,0.0834,3285,3,3,2,over-confident,over-confident,0.1422,ranked
L23,gsm,a_ph,443,445,,3286,0.2959,0.2959,0.3429,0.1597,1.2723,0.1808,0.332,3286,1,2,1,over-confident,over-confident,0.6818,ranked
L23,expb_pow,bb,555,555,,3315,-0.001,0.001,0.0359,0.0254,0.9892,0.4302,0.7382,3315,,,,over-confident,over-confident,0.686,indistinguishable
L23,giop,bb,555,555,,3285,0.0605,0.0605,0.061,0.0277,1.0618,0.0298,0.0642,3285,,,,over-confident,over-confident,0.231,indistinguishable
L23,gsm,bb,555,555,,3286,-0.0215,0.0215,0.0352,0.0182,0.9746,0.1306,0.2425,3286,,,,over-confident,over-confident,0.5822,indistinguishable
L23,expb_pow,bb,670,670,,3315,0.0239,0.0239,0.035,0.0215,1.0138,0.2275,0.4121,3315,,,,over-confident,over-confident,0.4961,indistinguishable
