dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
L23,expb_pow,a,440,440,,171,0.4785,0.4785,0.4797,0.1978,1.4479,0.0351,0.076,171,2,2,3,over-confident,over-confident,0.4123,ranked
L23,giop,a,440,440,,160,0.2764,0.2764,0.2764,0.1105,1.2747,0.0,0.0,160,1,1,1,over-confident,over-confident,0.8428,ranked
L23,gsm,a,440,440,,150,0.5279,0.5279,0.5279,0.1894,1.4999,0.0,0.0,150,3,3,2,over-confident,over-confident,0.2388,ranked
L23,expb_pow,a,443,445,,171,0.449,0.449,0.4508,0.1893,1.4151,0.0351,0.1053,171,2,2,2,over-confident,over-confident,0.4675,ranked
L23,giop,a,443,445,,160,0.2488,0.2488,0.2488,0.1015,1.2448,0.0,0.0062,160,1,1,1,over-confident,over-confident,0.8361,ranked
L23,gsm,a,443,445,,150,0.5761,0.5761,0.5761,0.2027,1.5494,0.0,0.0,150,3,3,3,over-confident,over-confident,0.1869,ranked
L23,expb_pow,a_dg,440,440,,171,0.3825,0.3825,0.601,0.2568,1.3408,0.3743,0.5731,171,3,2,3,over-confident,over-confident,0.3539,ranked
L23,giop,a_dg,440,440,,160,-0.1031,0.1031,0.2834,0.1374,0.8967,0.2375,0.3875,160,1,1,1,over-confident,over-confident,0.7258,ranked
L23,gsm,a_dg,440,440,,150,0.4578,0.4578,0.4604,0.1868,1.4337,0.0267,0.0467,150,2,3,2,over-confident,over-confident,0.4221,ranked
L23,expb_pow,a_dg,443,445,,171,0.3612,0.3612,0.5974,0.2552,1.3071,0.3977,0.5965,171,3,2,3,over-confident,over-confident,0.3344,ranked
L23,giop,a_dg,443,445,,160,-0.1257,0.1257,0.3008,0.1443,0.8754,0.1938,0.3688,160,1,1,1,over-confident,over-confident,0.6923,ranked
L23,gsm,a_dg,443,445,,150,0.4033,0.4033,0.409,0.1731,1.362,0.0333,0.1067,150,2,3,2,over-confident,over-confident,0.4775,ranked
L23,expb_pow,a_ph,440,440,,171,0.4596,0.4596,0.5162,0.199,1.4971,0.1813,0.5439,171,1,1,1,over-confident,over-confident,0.5844,ranked
L23,giop,a_ph,440,440,,160,0.635,0.635,0.6636,0.2399,1.6657,0.0188,0.0625,160,2,2,2,over-confident,over-confident,0.4582,ranked
L23,gsm,a_ph,440,440,,150,0.6874,0.6874,0.6875,0.2467,1.7149,0.0067,0.0267,150,3,3,3,over-confident,over-confident,0.4533,ranked
L23,expb_pow,a_ph,443,445,,171,0.4253,0.4253,0.481,0.1894,1.4628,0.2164,0.5614,171,1,1,1,over-confident,over-confident,0.6688,ranked
L23,giop,a_ph,443,445,,160,0.5927,0.5927,0.6249,0.2306,1.6253,0.0188,0.075,160,2,2,2,over-confident,over-confident,0.6187,ranked
L23,gsm,a_ph,443,445,,150,0.8495,0.8495,0.8495,0.2844,1.8852,0.0,0.0067,150,3,3,3,over-confident,over-confident,0.1972,ranked
L23,expb_pow,bb,555,555,,171,0.1574,0.1574,0.1742,0.0893,1.14,0.193,0.386,171,3,3,3,over-confident,over-confident,0.1591,ranked
L23,giop,bb,555,555,,160,0.0573,0.0573,0.0614,0.0308,1.0562,0.1125,0.25,160,2,2,1,over-confident,over-confident,0.592,ranked
L23,gsm,bb,555,555,,150,0.0367,0.0367,0.0562,0.0313,1.0303,0.22,0.4,150,1,1,2,over-confident,over-confident,0.7682,ranked
