dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
L23,expb_pow,a,440,440,,2495,0.0021,0.0021,0.0381,0.0247,0.993,0.616,0.8586,2482,1,1,1,over-confident,over-confident,0.8846,ranked
L23,giop,a,440,440,,2488,0.1905,0.1905,0.1905,0.0795,1.1862,0.0,0.0012,2488,3,3,3,over-confident,over-confident,0.0447,ranked
L23,gsm,a,440,440,,2488,0.0869,0.0869,0.0902,0.049,1.07,0.1379,0.2653,2488,2,2,2,over-confident,over-confident,0.5703,ranked
L23,expb_pow,a,443,445,,2495,0.0032,0.0032,0.037,0.0239,0.995,0.5995,0.8562,2482,1,1,1,over-confident,over-confident,0.9116,ranked
L23,giop,a,443,445,,2488,0.1868,0.1868,0.1868,0.0781,1.1828,0.0,0.0012,2488,3,3,3,over-confident,over-confident,0.0664,ranked
L23,gsm,a,443,445,,2488,0.1035,0.1035,0.1057,0.0557,1.0828,0.1053,0.2142,2488,2,2,2,over-confident,over-confident,0.5216,ranked
L23,expb_pow,a_dg,440,440,,2495,0.0237,0.0237,0.2042,0.1013,1.0284,0.7483,0.9134,2495,,,,conservative,over-confident,0.3967,indistinguishable
L23,giop,a_dg,440,440,,2488,-0.0184,0.0184,0.1632,0.0838,0.9845,0.3569,0.6419,2488,,,,over-confident,over-confident,0.5146,indistinguishable
L23,gsm,a_dg,440,440,,2488,0.0688,0.0688,0.1457,0.0801,1.0462,0.1921,0.3682,2488,,,,over-confident,over-confident,0.5888,indistinguishable
L23,expb_pow,a_dg,443,445,,2495,0.0135,0.0135,0.2168,0.1067,1.0219,0.7555,0.9166,2495,,,,conservative,over-confident,0.3852,indistinguishable
L23,giop,a_dg,443,445,,2488,-0.041,0.041,0.1737,0.0885,0.9636,0.3416,0.6174,2488,,,,over-confident,over-confident,0.4949,indistinguishable
L23,gsm,a_dg,443,445,,2488,0.0307,0.0307,0.1433,0.0775,1.0108,0.1885,0.3674,2488,,,,over-confident,over-confident,0.62,indistinguishable
L23,expb_pow,a_ph,440,440,,2495,-0.1642,0.1642,0.4137,0.3454,0.9615,0.7671,0.9702,2482,2,1,3,conservative,conservative,0.623,ranked
L23,giop,a_ph,440,440,,2488,0.5896,0.5896,0.5924,0.2203,1.5759,0.0301,0.0993,2488,3,3,2,over-confident,over-confident,0.1436,ranked
L23,gsm,a_ph,440,440,,2488,0.1926,0.1926,0.2681,0.1315,1.1775,0.2102,0.3887,2488,1,2,1,over-confident,over-confident,0.7333,ranked
L23,expb_pow,a_ph,443,445,,2495,-0.1486,0.1486,0.3943,0.3351,0.9762,0.7808,0.9714,2482,2,1,3,conservative,conservative,0.6859,ranked
L23,giop,a_ph,443,445,,2488,0.6194,0.6194,0.6212,0.2269,1.6039,0.0221,0.0764,2488,3,3,2,over-confident,over-confident,0.1231,ranked
L23,gsm,a_ph,443,445,,2488,0.2947,0.2947,0.3346,0.1554,1.274,0.1688,0.3119,2488,1,2,1,over-confident,over-confident,0.6908,ranked
L23,expb_pow,bb,555,555,,2495,-0.0159,0.0159,0.0291,0.0156,0.9818,0.4453,0.7752,2495,,,,over-confident,over-confident,0.7134,indistinguishable
L23,giop,bb,555,555,,2488,0.0573,0.0573,0.0577,0.0262,1.0585,0.0318,0.0679,2488,,,,over-confident,over-confident,0.2551,indistinguishable
L23,gsm,bb,555,555,,2488,-0.03,0.03,0.0365,0.0182,0.9682,0.115,0.2166,2488,,,,over-confident,over-confident,0.5313,indistinguishable
L23,expb_pow,bb,670,670,,2495,0.012,0.012,0.0263,0.0156,1.0048,0.2673,0.4834,2495,,,,over-confident,over-confident,0.5617,indistinguishable
L23,giop,bb,670,670,,2488,-0.0178,0.0178,0.0357,0.0181,0.975,0.1901,0.3453,2488,,,,over-confident,over-confident,0.3844,indistinguishable
L23,gsm,bb,670,670,,2488,0.0011,0.0011,0.0282,0.0155,0.9942,0.2448,0.4445,2488,,,,over-confident,over-confident,0.5538,indistinguishable
L23,expb_pow,bb_p,555,555,,2495,-0.0233,0.0233,0.0556,0.03,0.9672,0.4453,0.7752,2495,,,,over-confident,over-confident,0.7108,indistinguishable
L23,giop,bb_p,555,555,,2488,0.1158,0.1158,0.1165,0.0557,1.1052,0.0318,0.0679,2488,,,,over-confident,over-confident,0.2639,indistinguishable
L23,gsm,bb_p,555,555,,2488,-0.0482,0.0482,0.0681,0.0335,0.944,0.115,0.2166,2488,,,,over-confident,over-confident,0.525,indistinguishable
L23,expb_pow,bb_p,670,670,,2495,0.0271,0.0271,0.0465,0.0322,1.0071,0.2673,0.4834,2495,,,,over-confident,over-confident,0.5623,indistinguishable
L23,giop,bb_p,670,670,,2488,-0.0189,0.0189,0.0568,0.0311,0.9642,0.1901,0.3453,2488,,,,over-confident,over-confident,0.3838,indistinguishable
L23,gsm,bb_p,670,670,,2488,0.0112,0.0112,0.0477,0.0306,0.9916,0.2448,0.4445,2488,,,,over-confident,over-confident,0.5538,indistinguishable
PANGAEA,expb_pow,a_dg,440,443,,101,-0.1682,0.1682,0.5456,0.241,0.7847,0.9604,0.9901,101,3,2,2,conservative,consistent,0.3033,ranked
PANGAEA,giop,a_dg,440,443,,130,-0.2152,0.2152,0.5144,0.2414,0.7909,0.2846,0.5846,130,2,3,3,over-confident,over-confident,0.582,ranked
PANGAEA,gsm,a_dg,440,443,,32,-0.143,0.143,0.3375,0.1599,0.8751,0.3125,0.4688,32,1,1,1,over-confident,over-confident,0.7258,ranked
PANGAEA,expb_pow,a_dg,443,443,,101,-0.1682,0.1682,0.5456,0.241,0.7847,0.9604,0.9901,101,3,2,2,conservative,consistent,0.3033,ranked
PANGAEA,giop,a_dg,443,443,,130,-0.2152,0.2152,0.5144,0.2414,0.7909,0.2846,0.5846,130,2,3,3,over-confident,over-confident,0.582,ranked
PANGAEA,gsm,a_dg,443,443,,32,-0.143,0.143,0.3375,0.1599,0.8751,0.3125,0.4688,32,1,1,1,over-confident,over-confident,0.7258,ranked
PANGAEA,expb_pow,a_ph,440,443,,112,-0.2989,0.2989,0.8255,0.6914,0.8351,0.9545,0.9727,110,3,3,3,conservative,consistent,0.5652,ranked
PANGAEA,giop,a_ph,440,443,,153,0.0593,0.0593,0.4943,0.2384,1.0144,0.4118,0.8039,153,1,1,1,over-confident,over-confident,0.558,ranked
PANGAEA,gsm,a_ph,440,443,,37,-0.2722,0.2722,0.6115,0.2468,0.7125,0.3243,0.8108,37,2,2,2,over-confident,over-confident,0.2639,ranked
PANGAEA,expb_pow,a_ph,443,443,,112,-0.2989,0.2989,0.8255,0.6914,0.8351,0.9545,0.9727,110,3,3,3,conservative,consistent,0.5652,ranked
PANGAEA,giop,a_ph,443,443,,153,0.0593,0.0593,0.4943,0.2384,1.0144,0.4118,0.8039,153,1,1,1,over-confident,over-confident,0.558,ranked
PANGAEA,gsm,a_ph,443,443,,37,-0.2722,0.2722,0.6115,0.2468,0.7125,0.3243,0.8108,37,2,2,2,over-confident,over-confident,0.2639,ranked
PANGAEA,expb_pow,bb_p,555,555,,38,0.536,0.536,0.6168,0.2842,1.2956,0.5526,0.8421,38,3,3,3,consistent,over-confident,0.2703,ranked
PANGAEA,giop,bb_p,555,555,,45,0.2523,0.2523,0.45,0.2384,1.1501,0.1111,0.3556,45,2,2,2,over-confident,over-confident,0.7105,ranked
