dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
L23,expb_pow,a,440,440,,648,0.0024,0.0024,0.0248,0.0133,1.002,0.4714,0.8022,647,1,1,1,over-confident,over-confident,0.8039,ranked
L23,giop,a,440,440,,637,0.1331,0.1331,0.1331,0.057,1.1306,0.0031,0.0078,637,3,3,3,over-confident,over-confident,0.0094,ranked
L23,gsm,a,440,440,,648,0.0253,0.0253,0.035,0.0182,1.0257,0.3148,0.591,648,2,2,2,over-confident,over-confident,0.6825,ranked
L23,expb_pow,a,443,445,,648,0.0047,0.0047,0.0243,0.013,1.004,0.4374,0.7728,647,1,1,1,over-confident,over-confident,0.8249,ranked
L23,giop,a,443,445,,637,0.1323,0.1323,0.1323,0.0565,1.1303,0.0031,0.0078,637,3,3,3,over-confident,over-confident,0.0086,ranked
L23,gsm,a,443,445,,648,0.0322,0.0322,0.0389,0.02,1.0327,0.2917,0.5386,648,2,2,2,over-confident,over-confident,0.6623,ranked
L23,expb_pow,a_dg,440,440,,648,-0.0271,0.0271,0.205,0.1009,0.9712,0.8966,0.983,648,,,,conservative,conservative,0.3767,indistinguishable
L23,giop,a_dg,440,440,,637,-0.0198,0.0198,0.1488,0.0742,0.9798,0.3799,0.6703,637,,,,over-confident,over-confident,0.5141,indistinguishable
L23,gsm,a_dg,440,440,,648,0.0286,0.0286,0.1315,0.0708,1.0091,0.2392,0.3997,648,,,,over-confident,over-confident,0.6093,indistinguishable
L23,expb_pow,a_dg,443,445,,648,-0.0423,0.0423,0.2221,0.1083,0.9555,0.9028,0.9846,648,,,,conservative,conservative,0.365,indistinguishable
L23,giop,a_dg,443,445,,637,-0.0416,0.0416,0.1594,0.0791,0.9619,0.3564,0.6468,637,,,,over-confident,over-confident,0.5118,indistinguishable
L23,gsm,a_dg,443,445,,648,-0.0073,0.0073,0.1377,0.0713,0.9721,0.1929,0.3812,648,,,,over-confident,over-confident,0.6233,indistinguishable
L23,expb_pow,a_ph,440,440,,648,-0.0692,0.0692,0.4165,0.2693,1.0652,0.9645,1.0,647,2,1,3,conservative,conservative,0.6008,ranked
L23,giop,a_ph,440,440,,637,0.5987,0.5987,0.6097,0.2271,1.5934,0.0534,0.146,637,3,3,2,over-confident,over-confident,0.1397,ranked
L23,gsm,a_ph,440,440,,648,0.11,0.11,0.2356,0.1179,1.105,0.321,0.5556,648,1,2,1,over-confident,over-confident,0.7564,ranked
L23,expb_pow,a_ph,443,445,,648,-0.0403,0.0403,0.4098,0.2614,1.0923,0.9645,1.0,647,2,1,3,conservative,conservative,0.6358,ranked
L23,giop,a_ph,443,445,,637,0.6582,0.6582,0.6676,0.2406,1.6606,0.0345,0.113,637,3,3,2,over-confident,over-confident,0.1044,ranked
L23,gsm,a_ph,443,445,,648,0.1977,0.1977,0.277,0.1338,1.1953,0.2685,0.4846,648,1,2,1,over-confident,over-confident,0.7564,ranked
L23,expb_pow,bb,555,555,,648,0.0177,0.0177,0.0271,0.015,1.0147,0.4352,0.6898,648,,,,over-confident,over-confident,0.7074,indistinguishable
L23,giop,bb,555,555,,637,0.0741,0.0741,0.0741,0.0323,1.0747,0.0016,0.0031,637,,,,over-confident,over-confident,0.0518,indistinguishable
L23,gsm,bb,555,555,,648,-0.0017,0.0017,0.0255,0.0136,0.9968,0.1698,0.3056,648,,,,over-confident,over-confident,0.737,indistinguishable
L23,expb_pow,bb,670,670,,648,0.0484,0.0484,0.0502,0.0265,1.0425,0.1312,0.2315,648,,,,over-confident,over-confident,0.3237,indistinguishable
L23,giop,bb,670,670,,637,0.0246,0.0246,0.0395,0.0218,1.0196,0.2119,0.3611,637,,,,over-confident,over-confident,0.7849,indistinguishable
L23,gsm,bb,670,670,,648,0.0472,0.0472,0.0492,0.0262,1.0419,0.1451,0.2485,648,,,,over-confident,over-confident,0.3938,indistinguishable
L23,expb_pow,bb_p,555,555,,648,0.0676,0.0676,0.088,0.0556,1.0377,0.4352,0.6898,648,2,2,2,over-confident,over-confident,0.7066,ranked
L23,giop,bb_p,555,555,,637,0.2132,0.2132,0.2132,0.0956,1.1816,0.0016,0.0031,637,3,3,3,over-confident,over-confident,0.0549,ranked
L23,gsm,bb_p,555,555,,648,0.0164,0.0164,0.0762,0.0454,0.9914,0.1698,0.3056,648,1,1,1,over-confident,over-confident,0.7346,ranked
L23,expb_pow,bb_p,670,670,,648,0.1182,0.1182,0.1211,0.0704,1.0816,0.1312,0.2315,648,,,,over-confident,over-confident,0.3253,indistinguishable
L23,giop,bb_p,670,670,,637,0.0704,0.0704,0.0953,0.0598,1.0367,0.2119,0.3611,637,,,,over-confident,over-confident,0.7834,indistinguishable
L23,gsm,bb_p,670,670,,648,0.1156,0.1156,0.1188,0.0695,1.079,0.1451,0.2485,648,,,,over-confident,over-confident,0.3938,indistinguishable
PANGAEA,expb_pow,a_dg,440,443,,5,-0.4945,0.4945,1.4623,0.4268,0.4807,1.0,1.0,5,3,3,3,consistent,consistent,0.2,ranked
PANGAEA,giop,a_dg,440,443,,7,-0.4004,0.4004,1.0153,0.3367,0.5822,0.0,0.2857,7,1,1,1,over-confident,over-confident,0.6,ranked
PANGAEA,gsm,a_dg,440,443,,5,-0.4485,0.4485,1.1808,0.3809,0.4531,0.0,0.0,5,2,2,2,over-confident,over-confident,0.7,ranked
PANGAEA,expb_pow,a_dg,443,443,,5,-0.4945,0.4945,1.4623,0.4268,0.4807,1.0,1.0,5,3,3,3,consistent,consistent,0.2,ranked
PANGAEA,giop,a_dg,443,443,,7,-0.4004,0.4004,1.0153,0.3367,0.5822,0.0,0.2857,7,1,1,1,over-confident,over-confident,0.6,ranked
PANGAEA,gsm,a_dg,443,443,,5,-0.4485,0.4485,1.1808,0.3809,0.4531,0.0,0.0,5,2,2,2,over-confident,over-confident,0.7,ranked
PANGAEA,expb_pow,a_ph,440,443,,6,-0.2065,0.2065,0.2879,0.1497,0.8476,1.0,1.0,6,1,1,1,consistent,consistent,0.8182,ranked
PANGAEA,giop,a_ph,440,443,,23,0.2185,0.2185,0.7163,0.3011,0.9717,0.5217,0.6087,23,3,2,3,consistent,over-confident,0.6154,ranked
PANGAEA,gsm,a_ph,440,443,,7,-0.4004,0.4004,0.6678,0.2508,0.6491,0.4286,0.8571,7,2,3,2,consistent,consistent,0.0833,ranked
PANGAEA,expb_pow,a_ph,443,443,,6,-0.2065,0.2065,0.2879,0.1497,0.8476,1.0,1.0,6,1,1,1,consistent,consistent,0.8182,ranked
PANGAEA,giop,a_ph,443,443,,23,0.2185,0.2185,0.7163,0.3011,0.9717,0.5217,0.6087,23,3,2,3,consistent,over-confident,0.6154,ranked
PANGAEA,gsm,a_ph,443,443,,7,-0.4004,0.4004,0.6678,0.2508,0.6491,0.4286,0.8571,7,2,3,2,consistent,consistent,0.0833,ranked
PANGAEA,expb_pow,bb_p,555,555,,3,0.8178,0.8178,0.8178,0.2635,1.8412,0.0,0.3333,3,,,,over-confident,over-confident,0.6,indistinguishable
PANGAEA,giop,bb_p,555,555,,3,0.8572,0.8572,0.8572,0.2727,1.8757,0.0,0.0,3,,,,over-confident,over-confident,0.0,indistinguishable
PANGAEA,gsm,bb_p,555,555,,2,0.5009,0.5009,0.5009,0.1784,1.5038,0.0,0.0,2,,,,over-confident,over-confident,1.0,indistinguishable
PANGAEA,expb_pow,bb_p,670,670,,3,0.4809,0.4809,0.4809,0.1782,1.398,0.0,0.0,3,,,,over-confident,over-confident,0.4,indistinguishable
PANGAEA,giop,bb_p,670,670,,3,0.4606,0.4606,0.4606,0.1725,1.3815,0.0,0.0,3,,,,over-confident,over-confident,1.0,indistinguishable
PANGAEA,gsm,bb_p,670,670,,2,0.4307,0.4307,0.4307,0.1557,1.4309,0.0,0.0,2,,,,over-confident,over-confident,0.0,indistinguishable
