dataset,component,ref_wave,model_a,model_b,n_paired,win_frac_a,mae_a,mae_b,delta_mae,d_lo,d_hi,verdict
L23,a,440,expb_pow,giop,3284,0.9479,0.0518,0.1832,-0.1314,-0.1348,-0.1282,expb_pow
L23,a,440,expb_pow,gsm,3285,0.7455,0.0532,0.0957,-0.0426,-0.0452,-0.0402,indistinguishable
L23,a,440,giop,gsm,3260,0.0966,0.1823,0.0943,0.088,0.0852,0.0907,indistinguishable
L23,a,443,expb_pow,giop,3284,0.9485,0.05,0.1789,-0.129,-0.1324,-0.1256,expb_pow
L23,a,443,expb_pow,gsm,3285,0.7991,0.0512,0.1099,-0.0586,-0.0614,-0.056,indistinguishable
L23,a,443,giop,gsm,3260,0.1294,0.1782,0.1084,0.0699,0.0668,0.073,indistinguishable
L23,a_dg,440,expb_pow,giop,3284,0.4044,0.2181,0.166,0.0521,0.0448,0.0596,indistinguishable
L23,a_dg,440,expb_pow,gsm,3285,0.3772,0.2199,0.1555,0.0644,0.0568,0.0716,indistinguishable
L23,a_dg,440,giop,gsm,3260,0.4521,0.1634,0.1538,0.0096,0.0045,0.0148,indistinguishable
L23,a_dg,443,expb_pow,giop,3284,0.3986,0.2311,0.1768,0.0543,0.0463,0.0628,indistinguishable
L23,a_dg,443,expb_pow,gsm,3285,0.3592,0.2328,0.1531,0.0797,0.0721,0.0875,indistinguishable
L23,a_dg,443,giop,gsm,3260,0.4123,0.1741,0.1515,0.0226,0.0176,0.0276,indistinguishable
L23,a_ph,440,expb_pow,giop,3284,0.7829,0.4201,0.5992,-0.1791,-0.2111,-0.1426,expb_pow
L23,a_ph,440,expb_pow,gsm,3285,0.4508,0.4195,0.2781,0.1414,0.1099,0.174,gsm
L23,a_ph,440,giop,gsm,3260,0.0969,0.5968,0.2763,0.3205,0.3126,0.3286,gsm
L23,a_ph,443,expb_pow,giop,3284,0.8133,0.4024,0.6303,-0.228,-0.2593,-0.194,expb_pow
L23,a_ph,443,expb_pow,gsm,3285,0.5373,0.4019,0.3428,0.0592,0.0294,0.0949,indistinguishable
L23,a_ph,443,giop,gsm,3260,0.0972,0.6283,0.3408,0.2875,0.2796,0.2952,gsm
L23,bb,555,expb_pow,giop,3284,0.8082,0.0343,0.061,-0.0267,-0.0284,-0.0251,indistinguishable
L23,bb,555,expb_pow,gsm,3285,0.5644,0.0353,0.0352,0.0001,-0.0013,0.0015,indistinguishable
L23,bb,555,giop,gsm,3260,0.2702,0.0611,0.0348,0.0263,0.0249,0.0276,indistinguishable
L23,bb,670,expb_pow,giop,3284,0.5164,0.0341,0.0388,-0.0047,-0.0056,-0.0038,indistinguishable
L23,bb,670,expb_pow,gsm,3285,0.4761,0.0342,0.0326,0.0016,0.001,0.0023,indistinguishable
L23,bb,670,giop,gsm,3260,0.4488,0.0382,0.0321,0.0061,0.0053,0.0069,indistinguishable
L23,bb_p,555,expb_pow,giop,3284,0.803,0.0671,0.1325,-0.0654,-0.0686,-0.0623,indistinguishable
L23,bb_p,555,expb_pow,gsm,3285,0.5653,0.0686,0.0696,-0.001,-0.0033,0.0014,indistinguishable
L23,bb_p,555,giop,gsm,3260,0.2798,0.133,0.069,0.0639,0.0607,0.0675,indistinguishable
L23,bb_p,670,expb_pow,giop,3284,0.5177,0.0632,0.0661,-0.0029,-0.0044,-0.0014,indistinguishable
L23,bb_p,670,expb_pow,gsm,3285,0.4764,0.0637,0.061,0.0027,0.0018,0.0036,indistinguishable
L23,bb_p,670,giop,gsm,3260,0.4488,0.0655,0.0601,0.0054,0.0042,0.0067,indistinguishable
PANGAEA,a_dg,443,expb_pow,giop,197,0.5584,0.7268,0.9843,-0.2576,-0.5307,-0.0821,expb_pow
PANGAEA,a_dg,443,expb_pow,gsm,41,0.122,0.7089,0.4393,0.2697,0.1807,0.3457,gsm
PANGAEA,a_dg,443,giop,gsm,40,0.425,0.4388,0.4299,0.0089,-0.0281,0.0436,indistinguishable
PANGAEA,a_ph,443,expb_pow,giop,227,0.467,0.6988,0.4961,0.2027,0.0295,0.4792,giop
PANGAEA,a_ph,443,expb_pow,gsm,47,0.7021,0.8101,1.0999,-0.2898,-1.0756,0.021,underpowered
PANGAEA,a_ph,443,giop,gsm,48,0.7917,0.4393,0.6165,-0.1772,-0.2971,-0.0129,giop
PANGAEA,bb_p,555,expb_pow,giop,96,0.2083,0.572,0.4147,0.1573,0.1132,0.2042,giop
PANGAEA,bb_p,555,expb_pow,gsm,6,0.3333,0.4377,0.4189,0.0188,-0.1582,0.1695,underpowered
PANGAEA,bb_p,555,giop,gsm,7,0.2857,0.4218,0.3545,0.0673,-0.0493,0.1657,underpowered
PANGAEA,bb_p,670,expb_pow,giop,19,0.0526,1.2237,1.0629,0.1608,0.1007,0.2363,giop
PANGAEA,bb_p,670,expb_pow,gsm,2,1.0,0.3631,0.4307,-0.0676,-0.0776,-0.0572,underpowered
PANGAEA,bb_p,670,giop,gsm,2,1.0,0.3442,0.4307,-0.0865,-0.0988,-0.0737,underpowered
