dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
PANGAEA,expb_pow,a_dg,440,443,,478,-0.3288,0.3288,1.0453,0.7374,0.7948,0.9701,0.9893,469,2,2,2,conservative,conservative,0.4509,ranked
PANGAEA,giop,a_dg,440,443,,572,-0.6338,0.6338,2.142,1.196,0.6515,0.3732,0.704,544,3,3,3,over-confident,over-confident,0.4046,ranked
PANGAEA,gsm,a_dg,440,443,,433,-0.0991,0.0991,0.4529,0.2253,0.9086,0.4134,0.6651,433,1,1,1,over-confident,over-confident,0.6558,ranked
PANGAEA,expb_pow,a_dg,443,443,,478,-0.3288,0.3288,1.0453,0.7374,0.7948,0.9701,0.9893,469,2,2,2,conservative,conservative,0.4509,ranked
PANGAEA,giop,a_dg,443,443,,572,-0.6338,0.6338,2.142,1.196,0.6515,0.3732,0.704,544,3,3,3,over-confident,over-confident,0.4046,ranked
PANGAEA,gsm,a_dg,443,443,,433,-0.0991,0.0991,0.4529,0.2253,0.9086,0.4134,0.6651,433,1,1,1,over-confident,over-confident,0.6558,ranked
PANGAEA,expb_pow,a_ph,440,443,,530,-0.1257,0.1257,0.9322,0.6022,0.9896,0.9407,0.9751,523,1,1,1,conservative,conservative,0.6155,ranked
PANGAEA,giop,a_ph,440,443,,659,-0.1587,0.1587,1.1013,0.6638,0.9858,0.4791,0.7651,647,2,2,2,over-confident,over-confident,0.5188,ranked
PANGAEA,gsm,a_ph,440,443,,515,-0.3384,0.3384,1.2147,0.7456,0.7624,0.5197,0.9193,508,3,3,3,over-confident,over-confident,0.3624,ranked
PANGAEA,expb_pow,a_ph,443,443,,530,-0.1257,0.1257,0.9322,0.6022,0.9896,0.9407,0.9751,523,1,1,1,conservative,conservative,0.6155,ranked
PANGAEA,giop,a_ph,443,443,,659,-0.1587,0.1587,1.1013,0.6638,0.9858,0.4791,0.7651,647,2,2,2,over-confident,over-confident,0.5188,ranked
PANGAEA,gsm,a_ph,443,443,,515,-0.3384,0.3384,1.2147,0.7456,0.7624,0.5197,0.9193,508,3,3,3,over-confident,over-confident,0.3624,ranked
PANGAEA,expb_pow,bb_p,555,555,,232,1.0553,1.0553,1.3917,0.5721,1.5056,0.6379,0.8268,232,3,3,3,consistent,over-confident,0.2616,ranked
PANGAEA,giop,bb_p,555,555,,242,0.4084,0.4084,0.8805,0.5227,1.348,0.1369,0.3485,241,2,2,2,over-confident,over-confident,0.5266,ranked
PANGAEA,gsm,bb_p,555,555,,165,-0.0108,0.0108,0.4581,0.3516,1.0561,0.5091,0.7515,165,1,1,1,over-confident,over-confident,0.7414,ranked
PANGAEA,expb_pow,bb_p,670,670,,94,2.8821,2.8821,2.9405,0.7222,2.7842,0.1383,0.2766,94,3,3,3,over-confident,over-confident,0.0762,ranked
PANGAEA,giop,bb_p,670,670,,79,1.205,1.205,1.2417,0.3978,2.0983,0.0506,0.2532,79,2,2,2,over-confident,over-confident,0.7619,ranked
PANGAEA,gsm,bb_p,670,670,,32,0.5811,0.5811,0.6595,0.2619,1.5767,0.125,0.3438,32,1,1,1,over-confident,over-confident,0.7656,ranked
