dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
PANGAEA,expb_pow,a_dg,440,443,,184,-0.4897,0.4897,1.9289,1.134,0.7948,0.9543,0.9829,175,2,2,2,conservative,consistent,0.5784,ranked
PANGAEA,giop,a_dg,440,443,,226,-0.8653,0.8653,7.2146,1.839,0.4983,0.3467,0.7638,199,3,3,3,over-confident,over-confident,0.2484,ranked
PANGAEA,gsm,a_dg,440,443,,133,0.0984,0.0984,0.3921,0.1951,1.0474,0.5338,0.7744,133,1,1,1,over-confident,over-confident,0.7165,ranked
PANGAEA,expb_pow,a_dg,443,443,,184,-0.4897,0.4897,1.9289,1.134,0.7948,0.9543,0.9829,175,2,2,2,conservative,consistent,0.5784,ranked
PANGAEA,giop,a_dg,443,443,,226,-0.8653,0.8653,7.2146,1.839,0.4983,0.3467,0.7638,199,3,3,3,over-confident,over-confident,0.2484,ranked
PANGAEA,gsm,a_dg,443,443,,133,0.0984,0.0984,0.3921,0.1951,1.0474,0.5338,0.7744,133,1,1,1,over-confident,over-confident,0.7165,ranked
PANGAEA,expb_pow,a_ph,440,443,,197,0.3057,0.3057,0.9139,0.5716,1.4382,0.8821,0.959,195,,,,conservative,consistent,0.4411,indistinguishable
PANGAEA,giop,a_ph,440,443,,241,0.3488,0.3488,0.8589,0.4602,1.3914,0.3542,0.6083,240,,,,over-confident,over-confident,0.5162,indistinguishable
PANGAEA,gsm,a_ph,440,443,,145,0.0146,0.0146,0.7733,0.5693,1.1163,0.5139,0.8889,144,,,,over-confident,over-confident,0.5504,indistinguishable
PANGAEA,expb_pow,a_ph,443,443,,197,0.3057,0.3057,0.9139,0.5716,1.4382,0.8821,0.959,195,,,,conservative,consistent,0.4411,indistinguishable
PANGAEA,giop,a_ph,443,443,,241,0.3488,0.3488,0.8589,0.4602,1.3914,0.3542,0.6083,240,,,,over-confident,over-confident,0.5162,indistinguishable
PANGAEA,gsm,a_ph,443,443,,145,0.0146,0.0146,0.7733,0.5693,1.1163,0.5139,0.8889,144,,,,over-confident,over-confident,0.5504,indistinguishable
PANGAEA,expb_pow,bb_p,555,555,,83,0.9373,0.9373,1.0188,0.4576,1.404,0.6627,0.8434,83,3,3,2,consistent,over-confident,0.1871,ranked
PANGAEA,giop,bb_p,555,555,,86,0.4922,0.4922,0.8559,0.6758,1.2887,0.1529,0.3647,85,2,2,3,over-confident,over-confident,0.5827,ranked
PANGAEA,gsm,bb_p,555,555,,61,0.064,0.064,0.2291,0.1294,1.0447,0.6557,0.8525,61,1,1,1,consistent,over-confident,0.7623,ranked
PANGAEA,expb_pow,bb_p,670,670,,17,3.3479,3.3479,3.7086,0.8152,5.0745,0.1176,0.1765,17,3,3,3,over-confident,over-confident,0.1176,ranked
PANGAEA,giop,bb_p,670,670,,14,1.1532,1.1532,1.353,0.4512,2.3298,0.0714,0.3571,14,2,2,2,over-confident,over-confident,0.8235,ranked
PANGAEA,gsm,bb_p,670,670,,5,-0.0749,0.0749,0.2609,0.1188,1.0385,0.4,0.4,5,1,1,1,consistent,over-confident,0.6,ranked
