dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
PANGAEA,expb_pow,a_dg,440,443,,240,-0.1961,0.1961,0.5737,0.262,0.8104,0.9833,0.9958,240,3,2,3,conservative,conservative,0.3772,ranked
PANGAEA,giop,a_dg,440,443,,278,-0.2462,0.2462,0.5364,0.2479,0.7857,0.4173,0.7014,278,2,3,2,over-confident,over-confident,0.4813,ranked
PANGAEA,gsm,a_dg,440,443,,243,-0.1782,0.1782,0.427,0.2176,0.861,0.3827,0.6667,243,1,1,1,over-confident,over-confident,0.641,ranked
PANGAEA,expb_pow,a_dg,443,443,,240,-0.1961,0.1961,0.5737,0.262,0.8104,0.9833,0.9958,240,3,2,3,conservative,conservative,0.3772,ranked
PANGAEA,giop,a_dg,443,443,,278,-0.2462,0.2462,0.5364,0.2479,0.7857,0.4173,0.7014,278,2,3,2,over-confident,over-confident,0.4813,ranked
PANGAEA,gsm,a_dg,443,443,,243,-0.1782,0.1782,0.427,0.2176,0.861,0.3827,0.6667,243,1,1,1,over-confident,over-confident,0.641,ranked
PANGAEA,expb_pow,a_ph,440,443,,265,-0.2831,0.2831,0.8504,0.5466,0.7703,0.9771,0.9847,262,1,1,1,conservative,conservative,0.7043,ranked
PANGAEA,giop,a_ph,440,443,,317,-0.299,0.299,1.0555,0.6671,0.8356,0.5531,0.8842,311,2,2,2,over-confident,over-confident,0.5303,ranked
PANGAEA,gsm,a_ph,440,443,,281,-0.4239,0.4239,1.3503,0.7567,0.6472,0.4982,0.9278,277,3,3,3,over-confident,consistent,0.2712,ranked
PANGAEA,expb_pow,a_ph,443,443,,265,-0.2831,0.2831,0.8504,0.5466,0.7703,0.9771,0.9847,262,1,1,1,conservative,conservative,0.7043,ranked
PANGAEA,giop,a_ph,443,443,,317,-0.299,0.299,1.0555,0.6671,0.8356,0.5531,0.8842,311,2,2,2,over-confident,over-confident,0.5303,ranked
PANGAEA,gsm,a_ph,443,443,,281,-0.4239,0.4239,1.3503,0.7567,0.6472,0.4982,0.9278,277,3,3,3,over-confident,consistent,0.2712,ranked
PANGAEA,expb_pow,bb_p,555,555,,82,0.3427,0.3427,0.6523,0.3466,1.2107,0.7195,0.9146,82,2,3,3,consistent,consistent,0.32,ranked
PANGAEA,giop,bb_p,555,555,,97,0.164,0.164,0.6574,0.3318,1.1972,0.1546,0.4227,97,3,2,1,over-confident,over-confident,0.478,ranked
PANGAEA,gsm,bb_p,555,555,,80,-0.0496,0.0496,0.5397,0.3427,1.0333,0.425,0.7,80,1,1,2,over-confident,over-confident,0.702,ranked
PANGAEA,expb_pow,bb_p,670,670,,23,1.3073,1.3073,1.3123,0.4468,2.042,0.1739,0.2174,23,3,3,3,over-confident,over-confident,0.0,ranked
PANGAEA,giop,bb_p,670,670,,22,1.1712,1.1712,1.1771,0.3808,1.9343,0.0909,0.2273,22,2,2,2,over-confident,over-confident,0.6,ranked
PANGAEA,gsm,bb_p,670,670,,15,0.8353,0.8353,0.8353,0.3159,1.7345,0.1333,0.3333,15,1,1,1,over-confident,over-confident,0.9667,ranked
