dataset,algorithm,component,ref_wave,ref_match,caveat,n_pairs,bias,abs_bias,mae,rms_log,median_ratio,coverage68,coverage95,coverage_n,mae_rank,abs_bias_rank,rms_log_rank,coverage68_verdict,coverage95_verdict,win_frac,ranking
PANGAEA,expb_pow,a_dg,440,443,,12,-0.4911,0.4911,1.1855,0.418,0.5913,1.0,1.0,12,,,,conservative,consistent,0.4167,indistinguishable
PANGAEA,giop,a_dg,440,443,,16,-0.4329,0.4329,1.1346,0.3833,0.6145,0.125,0.5625,16,,,,over-confident,over-confident,0.6923,indistinguishable
PANGAEA,gsm,a_dg,440,443,,14,-0.4455,0.4455,1.1818,0.4006,0.5785,0.0,0.1429,14,,,,over-confident,over-confident,0.3846,indistinguishable
PANGAEA,expb_pow,a_dg,443,443,,12,-0.4911,0.4911,1.1855,0.418,0.5913,1.0,1.0,12,,,,conservative,consistent,0.4167,indistinguishable
PANGAEA,giop,a_dg,443,443,,16,-0.4329,0.4329,1.1346,0.3833,0.6145,0.125,0.5625,16,,,,over-confident,over-confident,0.6923,indistinguishable
PANGAEA,gsm,a_dg,443,443,,14,-0.4455,0.4455,1.1818,0.4006,0.5785,0.0,0.1429,14,,,,over-confident,over-confident,0.3846,indistinguishable
PANGAEA,expb_pow,a_ph,440,443,,16,-0.4169,0.4169,0.7291,0.287,0.5512,1.0,1.0,16,1,3,1,conservative,consistent,0.7742,ranked
PANGAEA,giop,a_ph,440,443,,35,-0.2791,0.2791,1.349,0.6714,0.8129,0.6765,0.7353,34,3,2,3,consistent,over-confident,0.4681,ranked
PANGAEA,gsm,a_ph,440,443,,33,-0.2522,0.2522,1.0659,0.3854,0.7194,0.7273,0.9697,33,2,1,2,consistent,consistent,0.3542,ranked
PANGAEA,expb_pow,a_ph,443,443,,16,-0.4169,0.4169,0.7291,0.287,0.5512,1.0,1.0,16,1,3,1,conservative,consistent,0.7742,ranked
PANGAEA,giop,a_ph,443,443,,35,-0.2791,0.2791,1.349,0.6714,0.8129,0.6765,0.7353,34,3,2,3,consistent,over-confident,0.4681,ranked
PANGAEA,gsm,a_ph,443,443,,33,-0.2522,0.2522,1.0659,0.3854,0.7194,0.7273,0.9697,33,2,1,2,consistent,consistent,0.3542,ranked
PANGAEA,expb_pow,bb_p,555,555,,5,0.6722,0.6722,0.6722,0.231,1.5891,0.4,0.6,5,2,2,2,consistent,over-confident,0.5,ranked
PANGAEA,giop,bb_p,555,555,,5,0.7136,0.7136,0.7136,0.241,1.624,0.0,0.0,5,3,3,3,over-confident,over-confident,0.0,ranked
PANGAEA,gsm,bb_p,555,555,,5,0.4628,0.4628,0.4628,0.176,1.4099,0.0,0.2,5,1,1,1,over-confident,over-confident,1.0,ranked
PANGAEA,expb_pow,bb_p,670,670,,5,0.4314,0.4314,0.4314,0.1626,1.398,0.0,0.2,5,,,,over-confident,over-confident,0.5,indistinguishable
PANGAEA,giop,bb_p,670,670,,5,0.415,0.415,0.415,0.1577,1.3815,0.0,0.0,5,,,,over-confident,over-confident,1.0,indistinguishable
PANGAEA,gsm,bb_p,670,670,,5,0.5004,0.5004,0.5004,0.1826,1.4552,0.0,0.0,5,,,,over-confident,over-confident,0.0,indistinguishable
