dataset,component,ref_wave,model_a,model_b,n_paired,win_frac_a,mae_a,mae_b,delta_mae,d_lo,d_hi,verdict
PANGAEA,a_dg,440,expb_pow,giop,476,0.5504,1.0339,1.4825,-0.4486,-0.8148,-0.229,expb_pow
PANGAEA,a_dg,440,expb_pow,gsm,400,0.3325,0.6364,0.4489,0.1875,0.143,0.2319,gsm
PANGAEA,a_dg,440,giop,gsm,431,0.355,0.614,0.4474,0.1667,0.1233,0.2173,gsm
PANGAEA,a_dg,443,expb_pow,giop,476,0.5504,1.0339,1.4825,-0.4486,-0.7705,-0.2053,expb_pow
PANGAEA,a_dg,443,expb_pow,gsm,400,0.3325,0.6364,0.4489,0.1875,0.1433,0.2375,gsm
PANGAEA,a_dg,443,giop,gsm,431,0.355,0.614,0.4474,0.1667,0.124,0.2121,gsm
PANGAEA,a_ph,440,expb_pow,giop,527,0.5863,0.9022,1.0195,-0.1173,-0.3798,0.1197,underpowered
PANGAEA,a_ph,440,expb_pow,gsm,451,0.6497,0.8777,1.1703,-0.2927,-0.6104,0.0007,underpowered
PANGAEA,a_ph,440,giop,gsm,512,0.627,0.9981,1.2132,-0.2151,-0.455,-0.0218,giop
PANGAEA,a_ph,443,expb_pow,giop,527,0.5863,0.9022,1.0195,-0.1173,-0.3739,0.1451,underpowered
PANGAEA,a_ph,443,expb_pow,gsm,451,0.6497,0.8777,1.1703,-0.2927,-0.6334,-0.0072,expb_pow
PANGAEA,a_ph,443,giop,gsm,512,0.627,0.9981,1.2132,-0.2151,-0.4331,0.0068,underpowered
PANGAEA,bb_p,555,expb_pow,giop,211,0.2749,1.0137,0.6936,0.3202,0.2146,0.4369,giop
PANGAEA,bb_p,555,expb_pow,gsm,156,0.2436,0.6217,0.4187,0.203,0.1498,0.2536,gsm
PANGAEA,bb_p,555,giop,gsm,165,0.2727,0.5451,0.4581,0.087,0.0518,0.1208,underpowered
PANGAEA,bb_p,670,expb_pow,giop,73,0.0137,1.9239,1.141,0.7829,0.4937,1.1402,giop
PANGAEA,bb_p,670,expb_pow,gsm,32,0.2188,0.887,0.6595,0.2275,0.1351,0.3358,gsm
PANGAEA,bb_p,670,giop,gsm,32,0.25,0.7646,0.6595,0.1051,0.047,0.1739,gsm
